created at,id,run id,run attempt,workflow name,name,head branch,conclusion,step,html url
""06.09.23, 12:34:49"",16544155183,6097031104,1,DevExtreme package tests,Demos visual tests jquery(3/4),update_devextreme-generator_23-2,cancelled,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097031104/job/16544155183
""06.09.23, 12:34:50"",16544155392,6097031104,1,DevExtreme package tests,Demos visual tests jquery(4/4),update_devextreme-generator_23-2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6097031104/job/16544155392
""06.09.23, 12:45:36"",16544518560,6097031104,1,DevExtreme package tests,Send notifications,update_devextreme-generator_23-2,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6097031104/job/16544518560
""06.09.23, 12:09:19"",16543283719,6096761622,1,DevExtreme package tests,Demos visual tests jquery(3/4),update_devextreme-generator_23-2,cancelled,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6096761622/job/16543283719
""06.09.23, 12:25:57"",16543852283,6096761622,1,DevExtreme package tests,Send notifications,update_devextreme-generator_23-2,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6096761622/job/16543852283
""06.09.23, 11:49:00"",16542646172,6096645830,1,DevExtreme package tests,build,update_devextreme-generator_23-2,failure,Build devextreme repo,https://github.com/DevExpress/DevExtreme/actions/runs/6096645830/job/16542646172
""06.09.23, 11:22:24"",16541893135,6096344131,1,DevExtreme package tests,Demos visual tests jquery(2/4),a11y_contrast_group/23_2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6096344131/job/16541893135
""06.09.23, 10:49:04"",16540930658,6096031356,1,DevExtreme package tests,Demos visual tests jquery(1/4),a11y_contrast_group/23_2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6096031356/job/16540930658
""06.09.23, 10:49:05"",16540930882,6096031356,1,DevExtreme package tests,Demos visual tests jquery(2/4),a11y_contrast_group/23_2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6096031356/job/16540930882
""06.09.23, 10:49:05"",16540931069,6096031356,1,DevExtreme package tests,Demos visual tests jquery(3/4),a11y_contrast_group/23_2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6096031356/job/16540931069
""06.09.23, 10:49:06"",16540931247,6096031356,1,DevExtreme package tests,Demos visual tests jquery(4/4),a11y_contrast_group/23_2,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6096031356/job/16540931247
""06.09.23, 10:39:04"",16540658367,6095929866,1,DevExtreme package tests,Demos visual tests jquery(4/4),feature/license-check,failure,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6095929866/job/16540658367
""06.09.23, 10:18:45"",16540057960,6095695556,1,DevExtreme package tests,Demos visual tests jquery(3/4),feature/license-check,cancelled,Run TestCafe tests,https://github.com/DevExpress/DevExtreme/actions/runs/6095695556/job/16540057960
""06.09.23, 10:32:27"",16540465644,6095695556,1,DevExtreme package tests,Send notifications,feature/license-check,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6095695556/job/16540465644
""06.09.23, 08:52:37"",16537346462,6094888162,1,DevExtreme package tests,build,renovate/23_2-pin-dependencies,failure,Install packages in devextreme repo,https://github.com/DevExpress/DevExtreme/actions/runs/6094888162/job/16537346462
""06.09.23, 08:24:35"",16536446058,6094595221,1,DevExtreme package tests,build,renovate/23_2-pin-dependencies,failure,Install packages in devextreme repo,https://github.com/DevExpress/DevExtreme/actions/runs/6094595221/job/16536446058
""06.09.23, 01:28:29"",16528480834,6091615174,1,DevExtreme package tests,build,T1185479_23-2,cancelled,Build devextreme repo,https://github.com/DevExpress/DevExtreme/actions/runs/6091615174/job/16528480834
""06.09.23, 01:37:50"",16528640229,6091615174,1,DevExtreme package tests,Bundlers tests,T1185479_23-2,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6091615174/job/16528640229
""06.09.23, 01:37:50"",16528640363,6091615174,1,DevExtreme package tests,Demos visual tests ${{ matrix.CONSTEL }},T1185479_23-2,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6091615174/job/16528640363
""06.09.23, 01:37:51"",16528640461,6091615174,1,DevExtreme package tests,Send notifications,T1185479_23-2,cancelled,,https://github.com/DevExpress/DevExtreme/actions/runs/6091615174/job/16528640461
""06.09.23, 13:46:25"",16546781271,6097977920,1,DevExtreme React Tests,test,renovate/23_2-pin-dependencies,failure,Run npm install,https://github.com/DevExpress/DevExtreme/actions/runs/6097977920/job/16546781271
""06.09.23, 13:23:32"",16545928265,6097720751,1,DevExtreme React Tests,test,renovate/23_2-pin-dependencies,failure,Run npm install,https://github.com/DevExpress/DevExtreme/actions/runs/6097720751/job/16545928265
""06.09.23, 11:48:59"",16542645936,6096645839,1,DevExtreme React Tests,test,update_devextreme-generator_23-2,failure,Run npm install,https://github.com/DevExpress/DevExtreme/actions/runs/6096645839/job/16542645936
""06.09.23, 08:52:35"",16537345468,6094888154,1,DevExtreme React Tests,test,renovate/23_2-pin-dependencies,failure,Run npm install,https://github.com/DevExpress/DevExtreme/actions/runs/6094888154/job/16537345468
""06.09.23, 08:24:33"",16536444712,6094595243,1,DevExtreme React Tests,test,renovate/23_2-pin-dependencies,failure,Run npm install,https://github.com/DevExpress/DevExtreme/actions/runs/6094595243/job/16536444712
""06.09.23, 13:46:25"",16546781244,6097977916,1,DevExtreme Vue Tests,test,renovate/23_2-pin-dependencies,failure,Install npm packages,https://github.com/DevExpress/DevExtreme/actions/runs/6097977916/job/16546781244
""06.09.23, 13:23:31"",16545928175,6097720756,1,DevExtreme Vue Tests,test,renovate/23_2-pin-dependencies,failure,Install npm packages,https://github.com/DevExpress/DevExtreme/actions/runs/6097720756/job/16545928175
""06.09.23, 13:15:48"",16545632644,6097625882,1,DevExtreme Vue Tests,test,no-excessive-onrendered-on-remount,failure,Run tests with Vue,https://github.com/DevExpress/DevExtreme/actions/runs/6097625882/job/16545632644
""06.09.23, 11:48:59"",16542645924,6096645841,1,DevExtreme Vue Tests,test,update_devextreme-generator_23-2,failure,Build devextreme package,https://github.com/DevExpress/DevExtreme/actions/runs/6096645841/job/16542645924
""06.09.23, 08:52:35"",16537345474,6094888155,1,DevExtreme Vue Tests,test,renovate/23_2-pin-dependencies,failure,Install npm packages,https://github.com/DevExpress/DevExtreme/actions/runs/6094888155/job/16537345474
""06.09.23, 08:24:33"",16536444804,6094595233,1,DevExtreme Vue Tests,test,renovate/23_2-pin-dependencies,failure,Install npm packages,https://github.com/DevExpress/DevExtreme/actions/runs/6094595233/job/16536444804
""06.09.23, 15:11:51"",16550102316,6098990802,1,Lint,component_exports,23_2_esm,failure,Use Node.js,https://github.com/DevExpress/DevExtreme/actions/runs/6098990802/job/16550102316
""06.09.23, 15:11:53"",16550103565,6098990802,1,Lint,package_lock,23_2_esm,failure,Use Node.js,https://github.com/DevExpress/DevExtreme/actions/runs/6098990802/job/16550103565
